duration,src_bytes,dst_bytes,count,srv_count
10,100,200,5,3
12,120,220,6,4
3000,50000,10,100,80
8,90,180,4,2
4000,60000,5,120,90
15,130,210,5,3
20,150,250,7,5
5000,70000,15,140,100
11,110,205,5,3
13,125,230,6,4
1000,20000,8,80,60
9,95,190,4,2
3500,55000,12,110,85
14,140,240,6,4
2500,40000,7,90,70
16,160,260,7,5
4500,65000,20,150,120
10,100,200,5,3
12,120,220,6,4
3000,50000,10,100,80
8,90,180,4,2
4000,60000,5,120,90
15,130,210,5,3
60,150,250,7,5
5000,70000,15,140,100
5,110,205,5,3
13,125,230,6,45
5000,20000,8,80,60
9,95,190,4,2
3500,55000,12,110,85
14,140,240,6,4
9,160,260,7,5
2500,40000,7,90,70
16,160,260,7,5
4500,65000,20,150,120
8,100,200,5,3
12,120,220,6,4
3000,50000,10,100,80
10,90,180,4,2
4000,60000,5,120,90
15,130,210,5,3
60,150,250,7,5
5000,70000,15,140,100
5,110,205,5,3   
5,125,230,6,45
5000,20000,8,80,60
7,95,190,4,2
3500,55000,12,110,85
8,140,240,6,4
9,160,260,7,5
9,160,260,7,5
2500,40000,7,90,70
16,160,260,7,5
3000,50000,10,100,80
8,90,180,4,2
4000,60000,5,120,90
9,130,210,5,3
60,150,250,7,5
5000,70000,15,140,100
5,110,205,5,3
13,125,230,6,45
6,20000,8,80,60
9,95,190,4,2
5000,55000,12,110,85
14,140,240,6,4
8,160,260,7,5
2500,40000,7,90,70
16,160,260,7,5
4500,65000,20,150,120
